t, reading 
409.35000, 310.00000
409.40000, 308.00000
409.45000, 310.00000
409.50000, 310.00000
409.55000, 311.00000
409.60000, 312.00000
409.65000, 310.00000
409.70000, 311.00000
409.75000, 309.00000
409.80000, 312.00000
409.85000, 307.00000
409.90000, 311.00000
409.95000, 313.00000
410.00000, 313.00000
410.05000, 308.00000
410.10000, 313.00000
410.15000, 312.00000
410.20000, 311.00000
410.25000, 307.00000
410.30000, 313.00000
410.35000, 314.00000
410.40000, 312.00000
410.45000, 311.00000
410.50000, 314.00000
410.55000, 314.00000
410.60000, 313.00000
410.65000, 312.00000
410.70000, 314.00000
410.75000, 312.00000
410.80000, 314.00000
410.85000, 309.00000
410.90000, 314.00000
410.95000, 314.00000
411.00000, 313.00000
411.05000, 315.00000
411.10000, 307.00000
411.15000, 310.00000
411.20000, 312.00000
411.25000, 312.00000
411.30000, 315.00000
411.35000, 312.00000
411.40000, 313.00000
411.45000, 312.00000
411.50000, 313.00000
411.55000, 313.00000
411.60000, 311.00000
411.65000, 313.00000
411.70000, 311.00000
411.75000, 313.00000
411.80000, 309.00000
411.85000, 312.00000
411.90000, 312.00000
411.95000, 314.00000
412.00000, 313.00000
412.05000, 312.00000
412.10000, 312.00000
412.15000, 311.00000
412.20000, 312.00000
412.25000, 309.00000
412.30000, 312.00000
412.35000, 313.00000
412.40000, 311.00000
412.45000, 311.00000
412.50000, 312.00000
412.55000, 312.00000
412.60000, 312.00000
412.65000, 311.00000
412.70000, 311.00000
412.75000, 311.00000
412.80000, 312.00000
412.85000, 311.00000
412.90000, 310.00000
412.95000, 311.00000
413.00000, 309.00000
413.05000, 310.00000
413.10000, 306.00000
413.15000, 311.00000
413.20000, 310.00000
413.25000, 310.00000
413.30000, 311.00000
413.35000, 310.00000
413.40000, 311.00000
413.45000, 308.00000
413.50000, 309.00000
413.55000, 297.00000
413.60000, 310.00000
413.65000, 309.00000
413.70000, 308.00000
413.75000, 310.00000
413.80000, 311.00000
413.85000, 309.00000
413.90000, 310.00000
413.95000, 309.00000
414.00000, 310.00000
414.05000, 308.00000
414.10000, 310.00000
414.15000, 309.00000
414.20000, 304.00000
414.25000, 310.00000
414.30000, 307.00000
414.35000, 310.00000
414.40000, 310.00000
414.45000, 309.00000
414.50000, 309.00000
414.55000, 310.00000
414.60000, 308.00000
414.65000, 310.00000
414.70000, 308.00000
414.75000, 309.00000
414.80000, 310.00000
414.85000, 308.00000
414.90000, 309.00000
414.95000, 305.00000
415.00000, 309.00000
415.05000, 309.00000
415.10000, 308.00000
415.15000, 309.00000
415.20000, 307.00000
415.25000, 298.00000
415.30000, 303.00000
415.35000, 309.00000
415.40000, 308.00000
415.45000, 308.00000
415.50000, 309.00000
415.55000, 308.00000
415.60000, 310.00000
415.65000, 309.00000
415.70000, 310.00000
415.75000, 310.00000
415.80000, 309.00000
415.85000, 308.00000
415.90000, 305.00000
415.95000, 309.00000
416.00000, 307.00000
416.05000, 309.00000
416.10000, 307.00000
416.15000, 307.00000
416.20000, 297.00000
416.25000, 310.00000
416.30000, 309.00000
416.35000, 308.00000
416.40000, 309.00000
416.45000, 309.00000
416.50000, 308.00000
416.55000, 300.00000
416.60000, 309.00000
416.65000, 307.00000
416.70000, 308.00000
416.75000, 310.00000
416.80000, 304.00000
416.85000, 309.00000
416.90000, 307.00000
416.95000, 309.00000
417.00000, 308.00000
417.05000, 308.00000
417.10000, 307.00000
417.15000, 310.00000
417.20000, 308.00000
417.25000, 309.00000
417.30000, 308.00000
417.35000, 309.00000
417.40000, 309.00000
417.45000, 308.00000
417.50000, 307.00000
417.55000, 309.00000
417.60000, 306.00000
417.65000, 309.00000
417.70000, 303.00000
417.75000, 309.00000
417.80000, 306.00000
417.85000, 302.00000
417.90000, 292.00000
417.95000, 291.00000
418.00000, 282.00000
418.05000, 282.00000
418.10000, 283.00000
418.15000, 284.00000
418.20000, 286.00000
418.25000, 286.00000
418.30000, 287.00000
418.35000, 287.00000
418.40000, 288.00000
418.45000, 289.00000
418.50000, 290.00000
418.55000, 291.00000
418.60000, 291.00000
418.65000, 292.00000
418.70000, 292.00000
418.75000, 293.00000
418.80000, 293.00000
418.85000, 325.00000
418.90000, 330.00000
418.95000, 333.00000
419.00000, 347.00000
419.05000, 346.00000
419.10000, 291.00000
419.15000, 292.00000
419.20000, 292.00000
419.25000, 293.00000
419.30000, 303.00000
419.35000, 323.00000
419.40000, 326.00000
419.45000, 337.00000
419.50000, 347.00000
419.55000, 347.00000
419.60000, 346.00000
419.65000, 346.00000
419.70000, 345.00000
419.75000, 345.00000
419.80000, 344.00000
419.85000, 344.00000
419.90000, 320.00000
419.95000, 300.00000
420.00000, 303.00000
420.05000, 302.00000
420.10000, 303.00000
420.15000, 305.00000
420.20000, 297.00000
420.25000, 290.00000
420.30000, 291.00000
420.35000, 292.00000
420.40000, 293.00000
420.45000, 294.00000
420.50000, 311.00000
420.55000, 313.00000
420.60000, 294.00000
420.65000, 294.00000
420.70000, 294.00000
420.75000, 295.00000
420.80000, 295.00000
420.85000, 327.00000
420.90000, 329.00000
420.95000, 329.00000
421.00000, 326.00000
421.05000, 326.00000
421.10000, 323.00000
421.15000, 324.00000
421.20000, 346.00000
421.25000, 346.00000
421.30000, 319.00000
421.35000, 291.00000
421.40000, 335.00000
421.45000, 314.00000
421.50000, 300.00000
421.55000, 305.00000
421.60000, 306.00000
421.65000, 315.00000
421.70000, 317.00000
421.75000, 317.00000
421.80000, 316.00000
421.85000, 317.00000
421.90000, 316.00000
421.95000, 317.00000
422.00000, 315.00000
422.05000, 316.00000
422.10000, 316.00000
422.15000, 315.00000
422.20000, 316.00000
422.25000, 316.00000
422.30000, 323.00000
422.35000, 341.00000
422.40000, 341.00000
422.45000, 341.00000
422.50000, 341.00000
422.55000, 341.00000
422.60000, 297.00000
422.65000, 318.00000
422.70000, 321.00000
422.75000, 301.00000
422.80000, 301.00000
422.85000, 308.00000
422.90000, 287.00000
422.95000, 288.00000
423.00000, 288.00000
423.05000, 305.00000
423.10000, 311.00000
423.15000, 341.00000
423.20000, 320.00000
423.25000, 306.00000
423.30000, 315.00000
423.35000, 299.00000
423.40000, 315.00000
423.45000, 325.00000
423.50000, 319.00000
423.55000, 312.00000
423.60000, 307.00000
423.65000, 315.00000
423.70000, 318.00000
423.75000, 298.00000
423.80000, 308.00000
423.85000, 302.00000
423.90000, 313.00000
423.95000, 314.00000
424.00000, 318.00000
424.05000, 310.00000
424.10000, 316.00000
424.15000, 313.00000
424.20000, 311.00000
424.25000, 315.00000
424.30000, 319.00000
424.35000, 299.00000
424.40000, 309.00000
424.45000, 313.00000
424.50000, 312.00000
424.55000, 315.00000
424.60000, 307.00000
424.65000, 311.00000
424.70000, 313.00000
424.75000, 316.00000
424.80000, 311.00000
424.85000, 329.00000
424.90000, 339.00000
424.95000, 320.00000
425.00000, 305.00000
425.05000, 300.00000
425.10000, 313.00000
425.15000, 309.00000
425.20000, 306.00000
425.25000, 304.00000
425.30000, 301.00000
425.35000, 305.00000
425.40000, 310.00000
425.45000, 313.00000
425.50000, 316.00000
425.55000, 308.00000
425.60000, 310.00000
425.65000, 313.00000
425.70000, 310.00000
425.75000, 324.00000
425.80000, 332.00000
425.85000, 295.00000
425.90000, 295.00000
425.95000, 296.00000
426.00000, 312.00000
426.05000, 304.00000
426.10000, 309.00000
426.15000, 312.00000
426.20000, 303.00000
426.25000, 304.00000
426.30000, 309.00000
426.35000, 306.00000
426.40000, 310.00000
426.45000, 298.00000
426.50000, 306.00000
426.55000, 310.00000
426.60000, 317.00000
426.65000, 334.00000
426.70000, 299.00000
426.75000, 303.00000
426.80000, 296.00000
426.85000, 307.00000
426.90000, 304.00000
426.95000, 311.00000
427.00000, 301.00000
427.05000, 309.00000
427.10000, 307.00000
427.15000, 311.00000
427.20000, 307.00000
427.25000, 305.00000
427.30000, 305.00000
427.35000, 312.00000
427.40000, 305.00000
427.45000, 303.00000
427.50000, 333.00000
427.55000, 317.00000
427.60000, 304.00000
427.65000, 296.00000
427.70000, 301.00000
427.75000, 308.00000
427.80000, 313.00000
427.85000, 308.00000
427.90000, 309.00000
427.95000, 305.00000
428.00000, 302.00000
428.05000, 311.00000
428.10000, 312.00000
428.15000, 306.00000
428.20000, 300.00000
428.25000, 311.00000
428.30000, 312.00000
428.35000, 319.00000
428.40000, 334.00000
428.45000, 326.00000
428.50000, 298.00000
428.55000, 304.00000
428.60000, 302.00000
428.65000, 310.00000
428.70000, 309.00000
428.75000, 312.00000
428.80000, 307.00000
428.85000, 309.00000
428.90000, 306.00000
428.95000, 304.00000
429.00000, 303.00000
429.05000, 304.00000
429.10000, 303.00000
429.15000, 305.00000
429.20000, 307.00000
429.25000, 310.00000
429.30000, 318.00000
429.35000, 335.00000
429.40000, 298.00000
429.45000, 296.00000
429.50000, 304.00000
429.55000, 302.00000
429.60000, 312.00000
429.65000, 306.00000
429.70000, 306.00000
429.75000, 310.00000
429.80000, 306.00000
429.85000, 303.00000
429.90000, 312.00000
429.95000, 310.00000
430.00000, 305.00000
430.05000, 311.00000
430.10000, 307.00000
430.15000, 302.00000
430.20000, 317.00000
430.25000, 334.00000
430.30000, 310.00000
430.35000, 294.00000
430.40000, 302.00000
430.45000, 308.00000
430.50000, 308.00000
430.55000, 306.00000
430.60000, 297.00000
430.65000, 302.00000
430.70000, 301.00000
430.75000, 310.00000
430.80000, 307.00000
430.85000, 313.00000
430.90000, 302.00000
430.95000, 302.00000
431.00000, 306.00000
431.05000, 313.00000
431.10000, 315.00000
431.15000, 335.00000
431.20000, 319.00000
431.25000, 302.00000
431.30000, 297.00000
431.35000, 300.00000
431.40000, 311.00000
431.45000, 304.00000
431.50000, 300.00000
431.55000, 305.00000
431.60000, 312.00000
431.65000, 300.00000
431.70000, 313.00000
431.75000, 304.00000
431.80000, 305.00000
431.85000, 301.00000
431.90000, 304.00000
431.95000, 305.00000
432.00000, 315.00000
432.05000, 320.00000
432.10000, 311.00000
432.15000, 309.00000
432.20000, 312.00000
432.25000, 311.00000
432.30000, 313.00000
432.35000, 313.00000
432.40000, 302.00000
432.45000, 302.00000
432.50000, 303.00000
432.55000, 308.00000
432.60000, 312.00000
432.65000, 311.00000
432.70000, 312.00000
432.75000, 310.00000
432.80000, 312.00000
432.85000, 313.00000
432.90000, 317.00000
432.95000, 329.00000
433.00000, 306.00000
433.05000, 297.00000
433.10000, 301.00000
433.15000, 304.00000
433.20000, 308.00000
433.25000, 307.00000
433.30000, 308.00000
433.35000, 302.00000
433.40000, 307.00000
433.45000, 304.00000
433.50000, 308.00000
433.55000, 309.00000
433.60000, 310.00000
433.65000, 304.00000
433.70000, 308.00000
433.75000, 311.00000
433.80000, 313.00000
433.85000, 322.00000
433.90000, 305.00000
433.95000, 301.00000
434.00000, 297.00000
434.05000, 306.00000
434.10000, 309.00000
434.15000, 312.00000
434.20000, 298.00000
434.25000, 311.00000
434.30000, 311.00000
434.35000, 310.00000
434.40000, 303.00000
434.45000, 309.00000
434.50000, 304.00000
434.55000, 313.00000
434.60000, 305.00000
434.65000, 310.00000
434.70000, 325.00000
434.75000, 331.00000
434.80000, 307.00000
434.85000, 304.00000
434.90000, 305.00000
434.95000, 310.00000
435.00000, 313.00000
435.05000, 305.00000
435.10000, 308.00000
435.15000, 301.00000
435.20000, 308.00000
435.25000, 314.00000
435.30000, 310.00000
435.35000, 313.00000
435.40000, 309.00000
435.45000, 311.00000
435.50000, 310.00000
435.55000, 311.00000
435.60000, 335.00000
435.65000, 314.00000
435.70000, 295.00000
435.75000, 301.00000
435.80000, 306.00000
435.85000, 313.00000
435.90000, 309.00000
435.95000, 300.00000
436.00000, 309.00000
436.05000, 310.00000
436.10000, 306.00000
436.15000, 311.00000
436.20000, 315.00000
436.25000, 311.00000
436.30000, 312.00000
436.35000, 307.00000
436.40000, 312.00000
436.45000, 331.00000
436.50000, 336.00000
436.55000, 307.00000
436.60000, 300.00000
436.65000, 297.00000
436.70000, 306.00000
436.75000, 308.00000
436.80000, 303.00000
436.85000, 310.00000
436.90000, 307.00000
436.95000, 308.00000
437.00000, 314.00000
437.05000, 308.00000
437.10000, 309.00000
437.15000, 307.00000
437.20000, 303.00000
437.25000, 306.00000
437.30000, 321.00000
437.35000, 331.00000
437.40000, 305.00000
437.45000, 297.00000
437.50000, 302.00000
437.55000, 313.00000
437.60000, 307.00000
437.65000, 309.00000
437.70000, 307.00000
437.75000, 303.00000
437.80000, 303.00000
437.85000, 310.00000
437.90000, 315.00000
437.95000, 312.00000
438.00000, 310.00000
438.05000, 306.00000
438.10000, 315.00000
438.15000, 326.00000
438.20000, 324.00000
438.25000, 314.00000
438.30000, 300.00000
438.35000, 303.00000
438.40000, 313.00000
438.45000, 305.00000
438.50000, 309.00000
438.55000, 308.00000
438.60000, 309.00000
438.65000, 313.00000
438.70000, 304.00000
438.75000, 316.00000
438.80000, 314.00000
438.85000, 308.00000
438.90000, 304.00000
438.95000, 301.00000
439.00000, 337.00000
439.05000, 325.00000
439.10000, 307.00000
439.15000, 302.00000
439.20000, 301.00000
439.25000, 305.00000
439.30000, 313.00000
439.35000, 307.00000
439.40000, 308.00000
439.45000, 310.00000
439.50000, 306.00000
439.55000, 308.00000
439.60000, 307.00000
439.65000, 310.00000
439.70000, 310.00000
439.75000, 311.00000
439.80000, 325.00000
439.85000, 337.00000
439.90000, 316.00000
439.95000, 296.00000
440.00000, 300.00000
440.05000, 303.00000
440.10000, 315.00000
440.15000, 310.00000
440.20000, 302.00000
440.25000, 301.00000
440.30000, 307.00000
440.35000, 308.00000
440.40000, 305.00000
440.45000, 308.00000
440.50000, 308.00000
440.55000, 313.00000
440.60000, 313.00000
440.65000, 334.00000
440.70000, 337.00000
440.75000, 316.00000
440.80000, 300.00000
440.85000, 305.00000
440.90000, 314.00000
440.95000, 319.00000
441.00000, 311.00000
441.05000, 300.00000
441.10000, 298.00000
441.15000, 311.00000
441.20000, 310.00000
441.25000, 300.00000
441.30000, 309.00000
441.35000, 312.00000
441.40000, 311.00000
441.45000, 314.00000
441.50000, 337.00000
441.55000, 330.00000
441.60000, 310.00000
441.65000, 292.00000
441.70000, 309.00000
441.75000, 317.00000
441.80000, 316.00000
441.85000, 305.00000
441.90000, 302.00000
441.95000, 301.00000
442.00000, 310.00000
442.05000, 312.00000
442.10000, 305.00000
442.15000, 308.00000
442.20000, 304.00000
442.25000, 300.00000
442.30000, 312.00000
442.35000, 337.00000
442.40000, 337.00000
442.45000, 313.00000
442.50000, 306.00000
442.55000, 305.00000
442.60000, 316.00000
442.65000, 306.00000
442.70000, 308.00000
442.75000, 304.00000
442.80000, 306.00000
442.85000, 302.00000
442.90000, 308.00000
442.95000, 303.00000
443.00000, 302.00000
443.05000, 301.00000
443.10000, 300.00000
443.15000, 316.00000
443.20000, 305.00000
443.25000, 337.00000
443.30000, 338.00000
443.35000, 309.00000
443.40000, 297.00000
443.45000, 303.00000
443.50000, 307.00000
443.55000, 307.00000
443.60000, 306.00000
443.65000, 304.00000
443.70000, 304.00000
443.75000, 311.00000
443.80000, 306.00000
443.85000, 309.00000
443.90000, 309.00000
443.95000, 307.00000
444.00000, 309.00000
444.05000, 309.00000
444.10000, 308.00000
444.15000, 335.00000
444.20000, 315.00000
444.25000, 294.00000
444.30000, 301.00000
444.35000, 303.00000
444.40000, 305.00000
444.45000, 309.00000
444.50000, 312.00000
444.55000, 313.00000
444.60000, 307.00000
444.65000, 311.00000
444.70000, 306.00000
444.75000, 310.00000
444.80000, 313.00000
444.85000, 311.00000
444.90000, 308.00000
444.95000, 315.00000
445.00000, 331.00000
445.05000, 312.00000
445.10000, 309.00000
445.15000, 305.00000
445.20000, 306.00000
445.25000, 314.00000
445.30000, 312.00000
445.35000, 304.00000
445.40000, 310.00000
445.45000, 306.00000
445.50000, 302.00000
445.55000, 306.00000
445.60000, 310.00000
445.65000, 311.00000
445.70000, 312.00000
445.75000, 310.00000
445.80000, 314.00000
445.85000, 336.00000
445.90000, 321.00000
445.95000, 304.00000
446.00000, 308.00000
446.05000, 300.00000
446.10000, 314.00000
446.15000, 311.00000
446.20000, 311.00000
446.25000, 302.00000
446.30000, 310.00000
446.35000, 304.00000
446.40000, 305.00000
446.45000, 313.00000
446.50000, 309.00000
446.55000, 310.00000
446.60000, 308.00000
446.65000, 304.00000
446.70000, 331.00000
446.75000, 331.00000
446.80000, 310.00000
446.85000, 306.00000
446.90000, 299.00000
446.95000, 314.00000
447.00000, 314.00000
447.05000, 312.00000
447.10000, 303.00000
447.15000, 306.00000
447.20000, 307.00000
447.25000, 299.00000
447.30000, 305.00000
447.35000, 302.00000
447.40000, 298.00000
447.45000, 308.00000
447.50000, 308.00000
447.55000, 325.00000
447.60000, 331.00000
447.65000, 302.00000
447.70000, 299.00000
447.75000, 301.00000
447.80000, 301.00000
447.85000, 315.00000
447.90000, 311.00000
447.95000, 303.00000
448.00000, 302.00000
448.05000, 306.00000
448.10000, 306.00000
448.15000, 303.00000
448.20000, 309.00000
448.25000, 303.00000
448.30000, 303.00000
448.35000, 311.00000
